%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
22.0, 35635.252074629316, 36578.07100749863, -11103.698444807345, 1422.0179822466353, 6377.667948921675, 6768.778773400638, -5765.5207235241805, 10767.304690754974, 1975.5589336823148, -187500.02235174447, -1205.206061030157, -35809.685088358536, -187500.02235174447, -4031.673554381556, -6195.70239731102, -187500.02235174447, -0.003, 0.9535, 0.2695, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809836052291E9, 0.0, 2024-02-11 14:49:43.605
24.0, 35637.59900779712, 36603.86492060005, -11064.940519921842, 1451.8128576055597, 6399.416196276688, 6792.628084734451, -5721.778359625145, 10611.982418535044, 1998.3577130267279, -187500.02235174447, -1220.1593780707572, -35810.82502732576, -187500.02235174447, -4036.1886067615283, -6224.916127314106, -187500.02235174447, -0.003, 0.9535, 0.2695, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809836052363E9, 0.0, 2024-02-11 14:49:43.605
26.0, 35663.169403454, 36621.880426631025, -11057.564444251591, 1462.608750177473, 6410.837937693351, 6809.168375631378, -5692.2070017107735, 10510.0808155633, 2012.640477733669, -187500.02235174447, -1212.6938954226846, -35805.14768423411, -187500.02235174447, -4027.002039790397, -6205.715978826997, -187500.02235174447, -0.003, 0.9535, 0.2695, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809836052437E9, 0.0, 2024-02-11 14:49:43.605
28.0, 35587.642858939515, 36677.64802904702, -11024.237993268729, 1481.1159945864672, 6442.599766564342, 6861.516161145707, -5650.409239579349, 10205.44889038192, 1984.901962864633, -187500.02235174447, -1220.2040815596679, -35809.327460447246, -187500.02235174447, -4030.153635758595, -6241.8587496112295, -187500.02235174447, -0.003, 0.9535, 0.2695, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809836052506E9, 0.0, 2024-02-11 14:49:43.605
30.0, 35494.99487817226, 36749.46418398192, -10982.686100326313, 1510.2626693561876, 6491.147755521269, 6926.693847977383, -5585.879753336877, 9806.939638488251, 2054.997033476476, -187500.02235174447, -1189.9621713116373, -35756.17501213253, -187500.02235174447, -4000.2693534218497, -6250.464171226522, -187500.02235174447, -0.0035, 0.9517500000000001, 0.26875000000000004, 192.0, 127.5, 112.0, 14.5, 88.0, 4.0, 48.0, 0.0, 0.0, 0.0, 1.7076809836052585E9, 0.0, 2024-02-11 14:49:43.605
32.0, 35251.85260198743, 36903.02066838988, -10880.315110721007, 1559.8835420469693, 6589.786003802539, 7068.023928168289, -5439.900510299267, 8964.05535507862, 2189.7780525419776, -187500.02235174447, -1120.2470803555348, -35642.315225877195, -187500.02235174447, -3917.165567537018, -6318.72639879303, -187500.02235174447, -0.0035, 0.9517500000000001, 0.26875000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809836052656E9, 0.0, 2024-02-11 14:49:43.605
34.0, 34994.89694772923, 37051.30214110639, -10767.259987266063, 1634.6054237610608, 6706.350351136965, 7216.372456118162, -5314.3060582048965, 7860.929710975852, 2425.43249433428, -187500.02235174447, -976.9276949081058, -35427.85023782853, -187500.02235174447, -3762.625606373025, -6390.631960705753, -187500.02235174447, -0.0035, 0.9517500000000001, 0.26875000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809836052728E9, 0.0, 2024-02-11 14:49:43.605
36.0, 34722.31742409676, 37201.68467780169, -10620.43137793915, 1741.0891343461437, 6835.0740474550785, 7370.107754481764, -5183.0566147633335, 6527.268174561045, 2767.2130188003803, -187500.02235174447, -777.639541344588, -35157.707054341685, -187500.02235174447, -3561.795182442091, -6456.368441148811, -187500.02235174447, -0.0035, 0.9517500000000001, 0.26875000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809836052797E9, 0.0, 2024-02-11 14:49:43.605
38.0, 34666.8850978476, 37225.31047169095, -10548.235243348508, 1824.4834929088943, 6890.886353359981, 7398.852097851289, -5133.681611261561, 5608.767939659112, 2991.1327947536465, -187500.02235174447, -493.9735524622861, -34857.63488502918, -187500.02235174447, -3311.969734665124, -6253.861636383729, -187500.02235174447, -0.0035, 0.9517500000000001, 0.26875000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707680983605288E9, 0.0, 2024-02-11 14:49:43.605
40.0, 34612.52565533229, 37233.737079350605, -10541.619126989739, 1833.7371151133914, 6901.4587284873405, 7404.283571753928, -5119.041218643334, 4765.481324849287, 3122.270479472933, -187500.02235174447, -323.92148064630993, -34738.00834870438, -187500.02235174447, -3156.111020578268, -6032.065276153717, -187500.02235174447, -0.00475, 0.951875, 0.26937500000000003, 192.0, 127.5, 104.0, 14.5, 96.0, 4.0, 56.0, 0.0, 0.0, 0.0, 1.7076809836052952E9, 0.0, 2024-02-11 14:49:43.605
42.0, 34809.84685538374, 37114.22230174808, -10578.231284407531, 1839.0344785492991, 6840.2373004242545, 7282.8241923837895, -5258.270234855442, 4511.7219700481855, 3220.595803331829, -187500.02235174447, -196.4718337621491, -34637.06787074421, -187500.02235174447, -3043.3911732901543, -5823.322334685604, -187500.02235174447, -0.00475, 0.951875, 0.26937500000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809836053028E9, 0.0, 2024-02-11 14:49:43.605
44.0, 35029.1174684903, 37027.38577453921, -10674.164971609709, 1771.4204515719953, 6775.171372314856, 7198.602819276192, -5308.338142435329, 4496.031045440561, 3144.018726827947, -187500.02235174447, -199.95870589717697, -34715.5448455268, -187500.02235174447, -3048.308557070322, -5633.779541704601, -187500.02235174447, -0.00475, 0.951875, 0.26937500000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70768098360531E9, 0.0, 2024-02-11 14:49:43.605
46.0, 35344.88056241042, 36944.25963690992, -10726.60216410186, 1747.0346983712552, 6736.256985218166, 7116.638972358582, -5402.327227869896, 4781.865153535027, 3074.1695254051124, -187500.02235174447, -230.98292720114318, -34759.577782103755, -187500.02235174447, -3068.8945137136598, -5570.077070006975, -187500.02235174447, -0.00475, 0.951875, 0.26937500000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707680983605317E9, 0.0, 2024-02-11 14:49:43.605
